"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000000003",747.194195359907,-0.350703020686579,0.168245681332529,-2.0844696749953,0.0371174658432827,0.163034808641681,"TSPAN6"
"ENSG00000000005",0,NA,NA,NA,NA,NA,"TNMD"
"ENSG00000000419",520.134160051965,0.206107766417861,0.101059218008052,2.0394751758463,0.0414026263001167,0.176031664879167,"DPM1"
"ENSG00000000457",322.664843927049,0.0245269479387471,0.145145067649248,0.168982303952746,0.865810560623561,0.961694238404388,"SCYL3"
"ENSG00000000460",87.682625164828,-0.147142049222121,0.257007253994672,-0.572520996723194,0.566969065257936,0.815848587637724,"C1orf112"
"ENSG00000000938",0.319166568913118,-1.73228897394308,3.49360097648095,-0.495846258804286,0.620002884826012,NA,"FGR"
"ENSG00000000971",5760.14836162122,0.45928190580702,0.234311633845522,1.96013274402677,0.0499802769421343,0.200944465782515,"CFH"
"ENSG00000001036",2025.39179382894,-0.228243688351364,0.125005308318279,-1.82587196833455,0.0678695494953218,0.246790954887551,"FUCA2"
"ENSG00000001084",652.173308358757,-0.253030787429103,0.202576594239605,-1.24906230346543,0.211642286939169,0.495030491999029,"GCLC"
"ENSG00000001167",411.684395281717,-0.533733396573759,0.228791461148912,-2.33283792102001,0.019656653572181,0.105268747648756,"NFYA"
"ENSG00000001460",201.336569053853,-0.123556348103778,0.161114727309945,-0.76688425798646,0.443150334000459,0.73058367200294,"STPG1"
"ENSG00000001461",2918.77668675377,0.00210152395872077,0.288704344043011,0.00727915600191899,0.99419212509989,0.998014166808367,"NIPAL3"
"ENSG00000001497",539.501702816792,-0.0573211492611312,0.109341581209838,-0.524239256711736,0.600112139778691,0.837621133648467,"LAS1L"
"ENSG00000001561",115.914401421895,0.286816638209833,0.715972980501578,0.400597014162325,0.688716844327052,0.887117297132836,"ENPP4"
"ENSG00000001617",604.297522477042,-0.19220280688442,0.198690550510317,-0.967347497859188,0.333370346699507,0.639074750802662,"SEMA3F"
"ENSG00000001626",9.6724145714589,-0.286388065302527,0.586258600932596,-0.488501260104249,0.625194833386451,NA,"CFTR"
"ENSG00000001629",1826.75812135437,-0.246091165637124,0.190393072929052,-1.29254264270858,0.196169288315458,0.474446482200193,"ANKIB1"
"ENSG00000001630",979.608386428198,-0.17975324934218,0.121379855928637,-1.48091499999689,0.138629225359443,0.386406073067563,"CYP51A1"
"ENSG00000001631",848.723819299268,-0.0712550209851311,0.153652803234143,-0.463740455659305,0.64283370875776,0.86210187896363,"KRIT1"
"ENSG00000002016",203.735815126675,-0.411582595769078,0.228455036442082,-1.80159125480003,0.0716097381879243,0.255785255862291,"RAD52"
"ENSG00000002079",3.06484852801131,1.06112994552515,1.77213592723804,0.598785865810514,0.549315688867315,NA,NA
"ENSG00000002330",688.667589034695,0.0103246419431339,0.0964225022817874,0.107077100249492,0.914727814057986,0.976989457490433,"BAD"
"ENSG00000002549",1229.98469317186,0.164300728725487,0.177395585311704,0.926182736942365,0.354351022345473,0.656729477666761,"LAP3"
"ENSG00000002586",8367.26727634875,0.0792894308760596,0.131640081100155,0.60231982701176,0.546961265485205,0.801490814631186,"CD99"
"ENSG00000002587",1.95953335698007,0.399056442749026,1.15881067603973,0.344367247385755,0.730570117047997,NA,"HS3ST1"
"ENSG00000002726",1.53531673945229,0.804939605370371,1.8033625142283,0.446354850463786,0.655340940970784,NA,"AOC1"
"ENSG00000002745",7.28561888515924,-0.616755840397284,1.02005314561186,-0.604631085204229,0.545424147475141,NA,"WNT16"
"ENSG00000002746",126.130005973738,0.193681254724147,0.308349478770702,0.628122529982204,0.529923674966583,0.788533509271851,"HECW1"
"ENSG00000002822",351.152304336473,-0.0573898319667155,0.150034116411462,-0.382511880226804,0.702081718534869,0.893013427123575,"MAD1L1"
"ENSG00000002834",8609.18275618938,0.416875055371324,0.108296983616796,3.84936903548871,0.000118422479332917,0.00183011066275208,"LASP1"
"ENSG00000002919",251.500095596273,0.34197366987493,0.144338780689971,2.3692431669453,0.0178245300402529,0.0988113131257795,"SNX11"
"ENSG00000002933",546.441449222622,0.404466498425363,1.40062631378887,0.288775453126558,0.772753217770892,0.925756744263364,"TMEM176A"
"ENSG00000003056",1837.96769229328,-0.00770187687693563,0.100389433711288,-0.0767199952445753,0.938846297516223,0.983555502335279,"M6PR"
"ENSG00000003096",414.075308683702,-0.964578629321617,0.191741904271291,-5.03060941731787,4.8892326586159e-07,1.49289170594229e-05,"KLHL13"
"ENSG00000003137",106.506412172302,-1.03077632905586,0.583074413477823,-1.76782980907645,0.0770893599140958,0.26776056898403,"CYP26B1"
"ENSG00000003147",9.33188603208963,0.254911504755498,0.570505284731505,0.446817078785635,0.655007138938189,NA,"ICA1"
"ENSG00000003249",122.242063046478,-0.368497975015863,0.353315002467841,-1.04297290644884,0.296960841170334,0.600626063988155,"DBNDD1"
"ENSG00000003393",860.859802380907,0.0548919352194714,0.166834695847635,0.32901990164925,0.742140645414132,0.912907738368829,"ALS2"
"ENSG00000003400",95.3711570248671,-0.178398908375878,0.354603466800509,-0.503094089816783,0.614898121800287,0.845066429642954,"CASP10"
"ENSG00000003402",3368.72335143759,1.16249955503504,0.126138593252644,9.21604978348429,3.08247089974146e-20,7.91254606382786e-18,"CFLAR"
"ENSG00000003436",5053.34063480256,-0.32544361573794,0.199411744750844,-1.63201829533445,0.102675632127147,0.322727153593647,"TFPI"
"ENSG00000003509",302.835086615061,-0.100895148270194,0.125090107320686,-0.806579756235519,0.41990864072025,0.713270117060138,"NDUFAF7"
"ENSG00000003756",2957.87449781706,-0.183767842696338,0.0805067784641339,-2.28263813559758,0.0224516926502982,0.115147607581702,"RBM5"
"ENSG00000003987",30.2673614014711,0.754687159849315,0.350816093212694,2.151233009119,0.0314578128448344,0.146009370375426,"MTMR7"
"ENSG00000003989",39.5398447202775,0.586932349134439,0.730281578309876,0.803706907810551,0.421566263729415,0.714323233853433,"SLC7A2"
"ENSG00000004059",1684.3217819095,0.379689771039632,0.114194253668285,3.3249463860289,0.000884355393123538,0.00941039458790467,"ARF5"
"ENSG00000004139",312.643392000576,-0.0807770695340641,0.204992488865789,-0.394048923358113,0.693544919623817,0.889780575001754,"SARM1"
"ENSG00000004142",1468.18173216884,0.152287930258553,0.127375714151312,1.19558058043661,0.231860273431015,0.523015168470765,"POLDIP2"
"ENSG00000004399",3661.96471974267,-0.051947264385273,0.217224517166168,-0.239140890093614,0.810996335736206,0.941262894070415,"PLXND1"
"ENSG00000004455",1236.90625297069,-0.0918567972106061,0.164577790992491,-0.558136044095992,0.576751489362169,0.821567090518251,"AK2"
"ENSG00000004468",5.59935950029571,0.2415812807513,0.814160769391886,0.296724295536546,0.76667700680622,NA,"CD38"
"ENSG00000004478",612.469678830193,-0.00303832191426551,0.16656999996518,-0.0182405109857756,0.985446984911849,0.995355988415718,"FKBP4"
"ENSG00000004487",1255.80031118487,-0.334105525803991,0.0960383685463047,-3.47887548342622,0.000503522488042737,0.0060283384042745,"KDM1A"
"ENSG00000004534",1306.14906893784,-0.303531255147878,0.158959516857921,-1.90948778121398,0.0561991964864528,0.217793457212724,"RBM6"
"ENSG00000004660",79.865424377978,-0.645176178926618,0.378102799642386,-1.70635123447071,0.0879427042570556,0.291633951384521,"CAMKK1"
"ENSG00000004700",1510.20849871797,0.409553280859453,0.119162326764514,3.43693591741292,0.000588334782701409,0.00677211546917445,"RECQL"
"ENSG00000004766",495.212595858396,-0.114356684939026,0.129941106528756,-0.880065500394351,0.378823827182131,0.677801189336043,"VPS50"
"ENSG00000004776",12520.3502740741,-0.154542224152926,0.245604661253982,-0.629231641467554,0.529197416702356,0.787974866398615,"HSPB6"
"ENSG00000004777",104.39554381318,-0.471433085352393,0.409422542902587,-1.15145854453979,0.249543640578701,0.544511128676516,"ARHGAP33"
"ENSG00000004779",366.340319770589,0.109903471791759,0.136529808339931,0.804977851562803,0.420832460944429,0.713813439525109,"NDUFAB1"
"ENSG00000004799",935.559303330853,2.55967531416087,0.911031411160663,2.80964551035603,0.00495960938100018,0.0378786102245324,"PDK4"
"ENSG00000004809",1.40994350389939,0.0528321817693278,1.54297791913353,0.0342404004063752,0.97268545055012,NA,"SLC22A16"
"ENSG00000004838",16.3434516100777,-0.923936691699483,0.41150824228119,-2.24524467985781,0.0247524292442046,0.123402931986081,"ZMYND10"
"ENSG00000004846",22.073292550198,-1.58995194445532,0.649411531149349,-2.44829644715636,0.0143533506432428,0.0843950499172603,"ABCB5"
"ENSG00000004848",0.13880171053401,0.894699722854172,3.5338115409304,0.253182636507722,0.800127083554548,NA,"ARX"
"ENSG00000004864",152.306716934468,0.0559735174612713,0.274609505270297,0.203829497475612,0.838486741058441,0.953154821986796,"SLC25A13"
"ENSG00000004866",523.884326788918,-0.614081619055332,0.212089244658635,-2.89539255063932,0.0037868464809521,0.0307827451458073,"ST7"
"ENSG00000004897",1680.01793286077,-0.161864823437841,0.100728098672607,-1.6069480668343,0.108065760929581,0.333625081483118,"CDC27"
"ENSG00000004939",8.67357060287904,-0.609551433429277,0.567082211229238,-1.07489076779182,0.282423635833478,NA,"SLC4A1"
"ENSG00000004948",0,NA,NA,NA,NA,NA,"CALCR"
"ENSG00000004961",435.963192136172,-0.166362112576125,0.141786728980214,-1.1733264020735,0.240664938544886,0.533196504297169,"HCCS"
"ENSG00000004975",1003.16479833127,-0.34674794030398,0.162599798918692,-2.13252379529308,0.0329638104607274,0.150963685947298,"DVL2"
"ENSG00000005001",0,NA,NA,NA,NA,NA,"PRSS22"
"ENSG00000005007",2286.27675995712,0.221287272783182,0.094199255862144,2.3491403489113,0.0188168126294666,0.102326975681606,"UPF1"
"ENSG00000005020",752.819690039845,0.0733029402924772,0.150904592180528,0.48575685625779,0.627139566832097,0.852988660949449,"SKAP2"
"ENSG00000005022",1300.3667432696,-0.0771831248020276,0.116845445287117,-0.660557410794837,0.508896189255746,0.776204976276756,"SLC25A5"
"ENSG00000005059",215.744400092371,0.223333752600781,0.257311169186685,0.867952033744588,0.385420591812458,0.68439381674284,"MCUB"
"ENSG00000005073",0.424982332670398,-1.07930236636265,2.58025387820358,-0.418293089482373,0.675732841560342,NA,"HOXA11"
